StudentID,PHI1004,PHI1005,POL1001,HIS1002,INT1003,INT1006,FLF1105,FLF1106,FLF1107,MAT1093,MAT1094,MAT1095,PHY1100,PHY1103,ELT2035,INT2203,MAT1101,ELT2029,INT1050,INT2204,INT2205,INT2206,INT2209,INT2207,INT2208,INT2202,INT3202,INT3110,INT3306,INT3115,INT3507,MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3401,INT3403,INT3404,INT3407,INT3508,INT4050,INT3509,INT2201,INT3405,INT3402,INT3211,INT2020,INT2009,INT3212,INT3061,MAT1089,INT3221
9020092,6.9,6.9,7.3,7.4,7.7,6.1,6.1,5.4,5.9,7.45,5.7,9.7,6.2,5.05,7.8,6.7,6.1,?,7.7,7.4,6.4,8.3,4.7,7.7,7.3,5.7,8.2,7.2,5.8,8.4,?,9.1,7.8,?,?,?,?,?,?,8.8,?,?,8.8,?,?,?,?,?,6.8,?,?,5.5,?,?,?,6.6,?,?,?,?,?,?,5.1,?,?,8.5,8.9,?,?,?,?,?,?,?,?,?,?,?
9020111,7.7,7.7,7.5,8,8.7,5.9,8.4,9,8.2,6.6,7.6,5.7,5.7,5.75,7.4,5.6,7.3,?,7,6.8,4.6,9,7.3,9.9,8.3,5.3,7.5,6,9.4,7.1,?,6.8,8.1,?,?,?,?,?,?,7.4,?,?,9.7,?,?,?,?,?,?,?,8.6,6.3,?,?,?,8.3,?,?,?,?,?,?,9.1,?,?,9,9.5,?,?,?,?,?,?,?,?,?,?,?
9020112,5.6,5.6,5.8,5.7,8.6,6.5,7.6,6.7,6.1,5.85,6.4,6.7,7,5.65,4.4,5.9,5.2,?,7.2,4,7.3,5.1,6.3,4,7.1,7.1,6.6,6,4.4,6.7,?,7.5,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.8,7.7,5.9,?,?,7.5,?,9,?,?,8.5,?,4.2,?,?,9.5,?,7.5,?,?,?,?,?,?,?,?,?,?
9020116,7.4,7.4,6,7.3,6.1,4.5,6.6,6.4,5.2,7.3,5.7,6.6,5.1,5.55,7,6.1,5.1,?,6.2,4.4,6,5.9,4.8,7.2,4.8,5.3,5.3,7.2,8.8,4.6,?,7.2,7.8,?,?,?,?,?,?,?,?,?,8.1,?,?,?,?,5.6,?,?,7.9,4.1,?,?,?,5.4,?,?,?,?,?,?,7.2,?,?,9,8.5,?,?,?,?,?,?,?,?,?,?,?
9020120,7.6,7.6,5.9,7.9,6.8,5.9,6.7,4.8,6.2,6.6,7,6.5,6.6,4.05,4,6.2,4.6,?,7.4,6.4,5.6,9.3,7.2,8.4,7.1,6,7.3,6.5,4.4,5.9,?,7.5,7.8,?,?,?,?,?,?,?,?,?,7.1,?,?,?,?,5,?,?,9.6,4.1,?,?,?,?,?,?,?,?,8.5,?,5.8,?,?,7,?,9,?,?,?,?,?,?,?,?,?,9
9020121,6.6,6.6,6.9,7.3,8.8,9.6,8.1,8.2,8.2,4.9,7.1,5.5,5,5.35,6.5,5.1,4.8,?,6.6,8,4.4,8.3,5.9,0.9,5.9,6.9,7.6,7,8.8,5.7,?,6.1,7.3,?,?,?,?,?,?,?,?,?,6.7,?,?,?,?,?,?,?,8.6,8.2,?,?,?,9,?,?,?,?,9.2,?,5.4,?,?,9,?,9,?,?,?,?,?,?,?,?,?,9.4
9020126,7.6,7.6,6.7,6.8,5.8,9.1,6.5,5.9,5.7,7.4,6.4,5.6,7.3,4.95,7,7.9,7,?,6.8,7.3,6.6,8,4.6,7.1,5.4,6.2,6.3,6.6,3.8,4.2,?,9.1,8.3,?,?,?,?,?,?,?,?,?,?,?,6.7,?,?,?,?,?,6.6,4,?,?,?,4.4,?,9.3,?,?,8.5,?,8.7,?,?,8,?,8.5,?,?,?,?,?,?,?,?,?,?
9020137,7.7,7.7,7.2,7.1,6.7,5.4,6.9,5.1,5.9,6.35,6.6,8.6,6.1,2.95,3.5,8,6.1,?,6.6,6,6,4.6,5.9,4.3,4.5,5.3,6.8,7.8,8,5.8,?,7.1,6.8,?,?,?,?,?,?,?,?,?,?,?,5.1,?,?,?,?,?,6.6,7,?,?,?,2.6,?,9.2,?,?,8.5,?,5.4,?,?,8,?,4,?,5.6,?,?,?,?,?,?,?,?
8020118,?,?,7.1,7.5,?,?,?,4.8,4.5,?,?,?,?,6.9,5.9,6.9,5.5,?,5.9,6.3,5.4,4.2,6.7,5,4.8,5.8,4.5,4,3.2,4.9,?,8.2,7.3,?,?,?,?,?,?,?,?,?,7.3,?,?,?,?,?,5.8,?,0,4.6,6.3,?,?,?,?,8.7,?,?,8.5,?,6.5,?,?,0,?,4,?,?,?,?,?,?,?,?,?,?
6020105,?,?,?,?,?,?,?,4.3,4.8,6.2,?,?,?,?,4,6.9,1.9,?,5.7,?,6,0,0,2.2,0,?,0.6,?,0,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9020160,7.5,7.5,6,6.6,9.1,5.5,7,6.2,6.6,5.1,5.9,5.5,4.7,3.8,5.5,6.5,5.6,?,6,5.7,4.6,4.9,4.4,5.3,5.1,7.8,6.6,5.2,8.8,7.8,?,4.5,7.5,?,?,?,?,?,?,6.3,?,?,?,?,?,?,?,4.8,4.6,?,4,4.9,?,?,?,?,?,?,?,7.6,?,?,1.2,?,?,0,?,7.5,?,?,?,?,?,?,?,?,?,?
9020175,7.6,7.6,6.8,7,8.6,7.4,5.4,5.9,4.1,5.7,7,5.1,4.5,4.7,5.5,6,7.1,?,6.6,4.9,6.2,8.6,4.7,6.8,4.8,5.4,7.7,7.7,4,8.4,?,9.1,8.6,?,?,?,?,?,?,?,?,?,?,?,7.1,?,?,7.8,?,?,10,6,?,?,?,?,?,?,?,?,?,?,7.8,?,?,9,9.2,?,?,?,?,?,?,?,?,?,?,9.4
8020159,?,?,?,?,?,?,?,4.1,0,?,?,?,?,5.05,?,0,1.7,?,0,0,2,0,?,?,?,1.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9020185,7.2,7.2,7,7.2,7.5,5.3,8.4,6.5,6.8,7.25,5,5.8,4.5,6.3,7,6,7,?,6.5,6,7.2,5.5,6.3,6.3,6,5.3,6.9,8.2,9.5,8.1,?,7.2,7.6,?,?,?,?,?,?,?,?,?,8.8,?,?,?,?,7.8,?,?,6.5,4.2,?,?,?,?,?,9.2,?,?,?,?,7.8,?,?,8.5,8.7,?,?,?,?,?,?,?,?,?,?,?
9020186,7.7,7.7,6.2,5.2,9.4,7.2,8.6,7.9,7.5,5.9,6.9,8.6,6.8,5,3.5,4.8,4,?,4,5.3,4.2,8.6,6.8,6.7,6.6,6.9,9.2,5.7,8.8,7.1,?,4.8,7.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,7.4,7.4,?,?,7.3,?,9.9,?,?,?,?,4.1,?,?,8,8.2,?,?,?,?,?,?,?,?,?,?,?
9020239,7.8,7.8,6.5,7.5,8.5,4.3,7.3,6.6,7.2,7.2,7,5.3,6.5,5.45,7,6.2,5.5,?,6.1,6.2,5.6,8.4,5.5,6.6,5.7,6.3,7,6.6,8,7.1,?,7.4,8.4,?,?,?,?,?,?,7.7,?,?,?,?,?,?,?,6.9,8.5,?,8.6,5.8,?,?,?,?,?,?,?,?,?,?,7.2,?,?,7.5,7,?,?,?,?,?,?,?,?,?,?,?
8020185,?,?,6.1,4.6,?,?,?,5.8,2.4,?,?,?,5.6,5.75,5.4,6.4,4.8,?,5.3,7.8,4.9,8,7.4,6.9,7,5.5,5.7,6,4.6,5.7,?,7.4,7.9,?,?,?,?,?,?,?,?,?,7.7,?,?,?,?,?,?,?,3.5,5.6,?,?,?,7.6,?,2.7,?,?,9.7,?,6.4,?,?,9,?,7,?,6,?,?,?,?,?,?,?,6.4
9020220,7.4,7.4,6.3,4.7,5.5,6.3,4.9,4.6,4.1,4.85,4.8,5.4,7.2,3.35,6,9.7,5.4,?,8.2,5.1,5.8,5.5,5.2,5,4.7,8.5,6.7,5.8,3,7.2,?,7.9,5.9,?,?,?,?,?,?,6.7,?,?,?,?,6.6,?,?,?,4.3,?,2.8,5,?,?,?,?,?,?,?,5.8,?,?,7.2,?,?,9,?,9,?,6.1,?,?,?,?,?,?,?,?
8020188,?,?,7.5,7.7,?,8.8,?,6.1,6.7,?,?,?,?,3.65,5,2,6,?,6.5,6.3,6.4,8.4,4.5,5.6,5.7,4.5,7.3,6.3,3.2,5.8,?,6.8,7.6,?,?,?,?,?,?,?,?,?,4.7,?,?,?,?,?,7.4,?,0,6,?,?,?,?,?,8,?,?,9.2,6,6.8,?,?,8,?,7,?,?,?,?,?,?,?,?,?,0
9020249,7.3,7.3,5.2,6.8,8.3,6.7,8.3,6.9,7.2,7.1,7.2,5.3,6.8,5.6,5.1,6.4,5.3,?,5.1,5.4,7.4,7,6,6.6,7.4,4.7,6.6,5.4,4,8.2,?,8.5,8.4,?,?,?,?,?,?,?,?,?,?,?,7.1,?,?,?,?,?,6.6,9,5.1,?,?,?,?,9,?,?,?,?,6.9,?,?,9,8.6,?,?,?,?,?,?,?,?,?,?,?
9020256,6.6,6.6,7.2,6.1,6.5,6.6,8,6.3,6.2,6.45,8.2,5,3.5,4.05,4,7.4,4,?,5.1,4.8,5,7.6,5.6,8.4,5.5,7,7.4,5.6,4.4,4.4,?,6.5,4.8,?,?,?,?,?,?,?,?,?,6.6,?,?,?,?,5.2,?,?,9.6,4.9,?,?,?,?,?,?,?,?,8.5,?,4.2,?,?,8.5,?,8.5,?,?,?,?,?,?,?,?,?,9
9020260,6.2,6.2,5.5,7.4,7,4.7,5.8,4.8,5.6,5.9,7.2,5.3,5.3,5.35,5.1,6,7,?,5,7,4.8,5.1,5.4,5.9,4.8,7.7,8.4,5,8.2,4.9,?,5,6.3,?,?,?,?,?,?,?,?,?,5.7,?,?,?,?,5.6,?,?,7.2,5.9,?,?,?,?,?,9.4,?,?,8.5,?,5.6,?,?,7.5,?,8.5,?,?,?,?,?,?,?,?,?,?
9020262,5.8,5.8,6.4,6.8,7.9,5.4,8.3,7.1,6.4,6.15,5.4,8.1,7.1,5.45,7,5,8,?,7.2,5,4,6.5,4.9,5.2,7.1,5.9,7.2,6.2,6.8,7.6,?,7.7,9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8,?,?,10,5,7.3,?,?,?,?,?,?,?,8.5,?,5.7,?,?,8.5,?,9.5,?,?,?,?,?,?,?,7.8,?,?
9020281,7.7,7.7,7.5,7.7,7.6,8.4,6.2,5.5,6.3,5.8,6.4,5.8,4.9,6.65,6.3,7.4,7,?,8.6,7,10,8.6,3.9,4.6,6.3,5.5,6.1,6.8,7.8,7.2,?,9.4,7.9,?,?,?,?,?,?,?,?,?,?,?,6.6,?,?,?,8.7,?,9,7.5,?,?,?,8.1,?,?,?,?,?,?,7.5,?,?,7,7.9,?,?,?,?,?,?,?,?,?,?,?
9020288,6.8,6.8,7.3,7.7,7.4,6.5,6.4,7.3,5.9,6.3,6.2,7.1,5.5,7.35,5.1,6.7,4.2,?,7.1,5,4.8,9,6.7,8,6,5.3,7.5,7.2,8.4,5.7,?,7.7,5.6,?,?,?,?,?,?,?,?,?,?,?,7.4,?,?,?,?,?,5.9,8,?,?,?,7,?,9.7,?,?,?,?,8.2,?,?,7,7.9,?,?,?,?,?,?,?,?,?,?,?
9020301,6.6,6.6,7.9,6.8,7.7,8.1,7.2,6.1,5.8,6.25,8.5,7.6,5.2,3.65,5.1,8.5,5.5,?,7,5.9,4.4,6.3,5,6.1,5.7,6.3,6,6.2,8.1,7.4,?,7.4,7.7,?,?,?,?,?,?,6.8,?,?,5.5,?,7,?,?,7.8,?,?,?,7,?,?,?,?,?,?,?,?,8.5,?,7,?,?,0,?,8,?,?,?,?,?,?,?,?,?,7.6
9020325,6.8,6.8,5.1,7,7.2,4.4,6.9,4,5.5,4.25,5.6,4.7,4.7,4.05,?,7.6,0,?,6.9,4.4,0,?,1.6,1.3,?,5.7,?,4.2,2,?,?,5.6,2.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.4,?,?,?,?,?,?,?,?,?,?,?,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8020255,?,?,?,?,?,?,?,3.9,0,?,?,?,?,6.3,?,0,5.9,?,0.4,3,5.7,0,?,?,?,3.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9020331,7.4,7.4,6.9,5.3,7.6,9.6,6.7,5.1,5.2,7.35,7.4,7,5.3,6.15,8,8.3,7.7,?,8.5,6.1,7.6,8.7,6.9,7.2,7.8,6.6,5.7,6.9,9.6,6.6,?,8.6,8.4,?,?,?,?,?,?,8.4,?,?,8.7,?,?,?,?,?,?,?,10,5.9,?,?,?,?,?,?,?,?,?,?,8.4,?,?,9,8.9,?,?,?,?,?,?,?,?,?,?,9.4
9020349,6,6,5.3,6.3,7.4,6.5,6.5,5.7,5.3,5.65,4.5,5.2,5.7,5.05,4.4,5.9,4.2,?,6.7,0,7.6,5.5,5.8,5.7,6.4,6.5,4.2,6.4,5.7,6.1,?,6.5,5.4,?,?,?,?,?,?,?,?,?,?,?,6,?,?,?,?,?,0,4,4.3,?,?,?,?,8.1,?,?,9.2,0,5.5,?,?,9,?,9,?,5.6,?,?,?,?,?,0,?,?
